,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
0,shot,642e3db4-bfa4-4ed2-9a22-468e68bd6e0a,34,1,00:01:48.568,1,48,3,Liverpool,Other,,Liverpool,Mohamed Salah,Right Wing,0.390909,,0.76,,Left Foot,Penalty,Goal,Normal,,,,,,,108.2,40.1,120.0,42.5,0.9
1,shot,93adc671-0697-4ad0-8f30-6dea062f3b03,342,1,00:09:04.723,9,4,15,Tottenham Hotspur,Regular Play,,Tottenham Hotspur,Moussa Sissoko,Right Defensive Midfield,1.237037,True,0.01876838,,Right Foot,Open Play,Off T,Normal,,,,,,,91.9,43.1,120.0,46.5,5.2
2,shot,e18a3a5e-b587-43f3-8dea-a25a14517c14,587,1,00:16:48.573,16,48,25,Liverpool,From Throw In,,Liverpool,Trent Alexander-Arnold,Right Back,1.438182,,0.011493988,d2a6e1fe-6701-48ac-b03a-85c98d5ba906,Right Foot,Open Play,Off T,Normal,,,,,,,90.2,59.3,120.0,34.7,0.8
3,shot,2439947c-b340-48a3-a8fe-b4e217136ccd,758,1,00:20:31.085,20,31,35,Liverpool,From Keeper,,Liverpool,Mohamed Salah,Right Wing,0.179142,,0.03793115,3f649523-5339-4ee3-8567-8d207fca2f14,Left Foot,Open Play,Blocked,Normal,,,,,,,95.2,47.2,99.7,46.2,
4,shot,7c1825a8-ff22-4d87-9a58-b287f0f3104a,768,1,00:21:53.381,21,53,37,Liverpool,From Throw In,,Liverpool,Mohamed Salah,Right Wing,1.154443,,0.00983486,98ff7789-fabe-4d12-bc36-f9ae758742b9,Left Foot,Open Play,Wayward,Normal,,,,,,,113.0,59.5,113.2,0.1,
5,shot,c678b67c-9658-4d7d-9a9b-d3db9a378829,1347,1,00:37:48.966,37,48,65,Liverpool,Regular Play,,Liverpool,Andrew Robertson,Left Back,1.001382,,0.014247056,fee8184e-c893-4cb1-b070-dd3758b0c3af,Left Foot,Open Play,Saved,Normal,,,,,,,98.4,20.4,118.3,37.9,2.4
6,shot,29c7e855-571d-4041-a297-259bc144061b,1353,1,00:38:32.466,38,32,66,Liverpool,From Corner,,Liverpool,Mohamed Salah,Right Wing,1.05144,,0.018582786,,Right Foot,Open Play,Off T,Volley,True,,,,,,97.6,37.4,120.0,43.3,6.4
7,shot,ec6af505-ae02-4acd-b54e-2ff2a23a4f8f,1402,1,00:41:11.871,41,11,71,Liverpool,Regular Play,,Liverpool,Jordan Brian Henderson,Right Center Midfield,0.143573,,0.014790367,,Right Foot,Open Play,Blocked,Normal,,,,,,,89.0,47.9,96.1,46.2,
8,shot,4c3dcf8f-1c87-4778-a120-79d3d92a6eed,1423,1,00:41:50.942,41,50,72,Liverpool,From Corner,,Liverpool,Mohamed Salah,Right Wing,0.297525,,0.009469723,,Left Foot,Open Play,Blocked,Half Volley,,,,,,,94.0,31.3,97.2,32.8,
9,shot,55265dc5-5022-4081-943e-71fcf47dfcca,1561,1,00:45:19.356,45,19,78,Tottenham Hotspur,From Throw In,,Tottenham Hotspur,Christian Dannemann Eriksen,Right Wing,1.020329,True,0.05087029,af5521cd-d6bc-45db-a029-c3756d17ab15,Left Foot,Open Play,Off T,Normal,,,,,,,96.1,41.6,120.0,37.2,6.0
10,shot,0536f123-c34c-4ca6-8210-d5baa9735f6e,1885,2,00:07:26.043,52,26,100,Liverpool,From Throw In,,Liverpool,Fábio Henrique Tavares,Center Defensive Midfield,0.1522,True,0.015496306,d0e2abe9-ee3b-424c-bdc1-b5232d323e05,Right Foot,Open Play,Blocked,Normal,,,,,,,88.6,39.0,91.5,38.9,
11,shot,bdadf9a6-51d2-43ec-b1c0-4c6676bb1329,1916,2,00:08:06.415,53,6,102,Liverpool,From Counter,,Liverpool,Mohamed Salah,Right Wing,0.123388,,0.06709672,93862fa4-38e1-4c15-9e58-c415b9372f7d,Left Foot,Open Play,Blocked,Normal,,,,,,,110.2,52.7,111.1,51.3,
12,shot,b3481200-2e05-4634-ad78-06bc20e11854,1960,2,00:08:49.466,53,49,103,Tottenham Hotspur,From Keeper,,Tottenham Hotspur,Bamidele Alli,Center Attacking Midfield,0.144647,,0.1307719,7d67da89-af24-46d8-8a76-64e17625e006,Right Foot,Open Play,Blocked,Normal,,,,,,,110.8,49.4,111.7,48.2,
13,shot,7738ce77-1950-4338-9faf-4bfe85584871,2033,2,00:11:56.611,56,56,105,Tottenham Hotspur,From Corner,,Tottenham Hotspur,Danny Rose,Left Back,0.593495,True,0.020670831,,Left Foot,Open Play,Blocked,Half Volley,True,,,,,,101.6,25.6,103.3,26.6,
14,shot,8fa9abde-27a6-4d63-93da-c4ead99854f8,2039,2,00:12:18.661,57,18,106,Tottenham Hotspur,From Corner,,Tottenham Hotspur,Jan Vertonghen,Left Center Back,1.136312,True,0.01738556,1b2cbf26-da57-4c0f-879a-2acc5413a1cd,Head,Open Play,Off T,Normal,,,,,,,110.7,50.3,120.0,41.6,3.8
15,shot,d3969687-bc33-460c-81d7-110032c1b1b8,2178,2,00:15:18.417,60,18,109,Tottenham Hotspur,From Throw In,,Tottenham Hotspur,Christian Dannemann Eriksen,Right Wing,0.666432,,0.02279718,,Right Foot,Open Play,Blocked,Normal,,,,,,,92.1,46.7,104.5,42.3,
16,shot,4d1c1da1-b26a-480c-b0dd-d6ed79ca8b80,2435,2,00:23:10.393,68,10,122,Liverpool,From Throw In,,Liverpool,James Philip Milner,Left Center Midfield,0.829477,,0.050377708,37c82d59-64d7-4bb7-9bb4-e45f0b25283e,Left Foot,Open Play,Off T,Normal,,,,,,,103.1,45.9,120.0,44.7,0.3
17,shot,775550f0-5b94-4d81-9374-57fa11e67b8a,2582,2,00:27:36.500,72,36,126,Tottenham Hotspur,From Throw In,,Tottenham Hotspur,Bamidele Alli,Left Midfield,1.69788,,0.08066935,0d91c038-0e84-4324-be94-b3137ee2306f,Right Foot,Open Play,Saved,Lob,True,,,,,,106.0,27.2,118.6,40.4,1.6
18,shot,5b0ab5ec-73d3-48a5-ab5a-1965888b8d68,2794,2,00:33:21.023,78,21,138,Tottenham Hotspur,Regular Play,,Tottenham Hotspur,Bamidele Alli,Left Midfield,0.883025,True,0.13260455,5583af11-a7f5-4e79-9584-2ecc97676403,Head,Open Play,Off T,Normal,,,,,,,113.4,37.4,120.0,37.1,3.8
19,shot,7160984c-337b-49b0-98ac-7b9eb407fadc,2844,2,00:34:35.289,79,35,140,Tottenham Hotspur,Regular Play,,Tottenham Hotspur,Heung-Min Son,Right Center Forward,1.008128,True,0.026193267,2c14d08c-b8a9-4537-b5eb-a7370f567735,Right Foot,Open Play,Saved,Normal,,,,,,,90.8,44.9,117.5,39.4,0.6
20,shot,f9b625fa-119c-4333-85bd-a88c43aa31b6,2851,2,00:34:40.459,79,40,140,Tottenham Hotspur,Regular Play,,Tottenham Hotspur,Lucas Rodrigues Moura da Silva,Right Midfield,0.84001,True,0.14755689,87e2e243-d48f-4ec7-905c-6aabad2c8531,Right Foot,Open Play,Saved,Normal,,,,,,,106.2,38.6,118.6,41.9,0.2
21,shot,ac093d9a-b4e0-4bc9-baa2-5b8108cc7952,2887,2,00:35:21.172,80,21,147,Tottenham Hotspur,Regular Play,,Tottenham Hotspur,Heung-Min Son,Right Center Forward,1.026395,True,0.031593475,f4c277f3-388f-42e2-82a4-850057d3e650,Left Foot,Open Play,Saved,Normal,,,,,,,94.7,36.9,115.8,39.1,0.2
22,shot,74376cb1-b823-4dce-879b-c6294380f949,2913,2,00:37:02.620,82,2,151,Liverpool,From Corner,,Liverpool,Jordan Brian Henderson,Right Center Midfield,1.235385,,0.019779755,,Right Foot,Open Play,Off T,Half Volley,,,,,,,93.6,53.4,120.0,19.8,0.9
23,shot,d5b60596-6417-4511-812a-5cf3d6a14a97,2943,2,00:39:07.123,84,7,153,Tottenham Hotspur,From Free Kick,,Tottenham Hotspur,Christian Dannemann Eriksen,Right Center Midfield,1.044715,,0.06988327,,Right Foot,Free Kick,Saved,Normal,,,,,,,104.0,16.9,118.7,41.3,1.6
